PDB	ENERGY	RMSD
16pk	-8.60	1.68
185l	-4.20	1.61
186l	-5.00	0.76
187l	-2.24	4.16
188l	-2.29	3.08
1a8i	-7.98	1.60
1akq	-8.54	1.05
1akt	-6.65	0.78
1aku	-5.97	0.98
1akw	-8.96	0.93
1amw	-4.54	4.93
1azl	-8.00	0.85
1b2i	-6.51	1.87
1b74	-2.89	4.76
1bqn	-6.31	1.17
1br6	-5.08	2.01
1btn	-10.95	2.66
1c85	-6.99	1.17
1c88	-6.25	0.88
1cet	-3.47	2.54
1czk	-8.31	1.09
1czr	-8.16	1.11
1db1	-10.16	0.96
1dbj	-7.98	0.78
1dbk	-7.60	1.14
1di9	-6.59	3.52
1dru	-7.74	4.77
1drw	-8.98	2.36
1dtt	-6.30	2.99
1e1v	-4.16	4.06
1e66	-7.78	0.66
1eed	-5.86	5.59
1epo	-6.07	2.89
1epp	-4.59	3.10
1esz	-8.81	1.12
1ets	-6.51	0.91
1ett	-7.04	1.51
1eve	-7.77	3.78
1exw	-4.70	1.53
1eyn	-7.40	2.34
1f0q	-7.16	3.05
1f4x	-5.06	1.02
1f9g	-3.65	4.83
1fkb	-8.12	0.86
1fko	-7.48	0.54
1fq6	-6.90	2.04
1fq8	-6.52	5.30
1fv0	-7.85	2.39
1fw0	-5.74	1.52
1fzq	-7.66	1.39
1gpk	-6.27	1.85
1gpn	-6.59	3.13
1gx8	-6.89	1.86
1gym	-4.60	2.61
1h22	-8.40	2.74
1h23	-8.02	2.65
1h46	-3.96	4.59
1h6h	-8.01	1.95
1h9z	-5.67	3.35
1ha2	-5.35	3.40
1hi3	-10.58	3.26
1hi5	-10.05	4.29
1hk4	-6.02	4.91
1hk5	-5.42	5.64
1hsg	-7.31	3.57
1ie9	-10.64	0.86
1ikv	-6.83	0.44
1iky	-7.99	1.25
1il4	-4.46	1.76
1il5	-3.15	6.16
1il9	-4.61	1.46
1ixi	-4.29	0.78
1j01	-5.49	0.94
1j5i	-5.03	3.64
1j8v	-8.28	0.97
1jsv	-5.22	5.69
1jvu	-7.97	1.23
1jwt	-7.35	1.53
1k2i	-4.75	4.41
1k3t	-4.44	3.42
1knu	-9.18	2.08
1l83	-3.13	0.84
1laf	-4.74	0.91
1lag	-3.90	1.28
1lah	-3.50	5.27
1lee	-6.64	3.03
1lf2	-7.00	3.68
1lf3	-6.50	2.46
1lgw	-3.31	1.31
1li3	-4.08	0.81
1lo7	-2.98	3.59
1lo8	-6.04	4.09
1lst	-4.54	2.51
1lyx	-7.18	2.61
1m2q	-7.45	2.11
1m2r	-6.63	0.77
1m5c	-5.97	1.09
1me4	-3.86	2.53
1moq	-4.57	2.13
1mqi	-6.01	0.63
1mt6	-3.40	2.99
1n1t	-5.21	2.62
1n1v	-4.55	1.91
1n5r	-7.06	4.11
1nav	-8.89	1.67
1nf8	-2.49	4.48
1njc	-5.83	5.01
1njd	-6.10	3.64
1nje	-5.66	4.49
1nli	-3.72	0.68
1nq0	-9.98	1.52
1nq1	-11.11	1.45
1o4k	-4.87	3.84
1o5f	-5.35	1.71
1o9w	-3.45	2.51
1obv	-10.40	0.94
1ogz	-6.65	3.18
1osf	-6.22	1.25
1p1n	-5.91	0.92
1p1o	-5.68	0.25
1p57	-4.57	3.13
1pb7	-3.39	0.41
1pb8	-4.07	0.85
1pb9	-4.16	1.08
1pbk	-7.67	0.63
1pot	-4.82	3.57
1pxk	-4.90	1.71
1pxl	-5.50	1.25
1pxm	-6.03	3.33
1pxn	-5.36	1.77
1pxp	-4.66	2.31
1qan	-6.43	2.23
1qaq	-6.96	2.32
1qds	-6.49	1.00
1qti	-6.92	3.80
1qvt	-5.01	3.17
1r0p	-8.30	1.06
1r5l	-9.72	3.78
1rbp	-7.97	1.56
1rej	-8.51	0.68
1rg7	-8.87	1.79
1rne	-8.19	2.97
1rnt	-5.17	3.47
1rob	-7.42	2.63
1rpf	-7.21	2.52
1rpj	-5.68	1.13
1rth	-7.28	2.79
1rti	-6.99	2.27
