PDB	ENERGY	RMSD
185l	-4.29	1.01
186l	-4.80	0.81
187l	-2.41	2.85
188l	-2.47	2.86
1a8i	-7.88	1.06
1akq	-11.69	0.66
1akt	-10.92	0.25
1aku	-9.76	0.62
1akw	-11.47	0.35
1amw	-4.69	2.13
1azl	-11.45	0.20
1b2i	-7.07	1.70
1b74	-3.50	3.45
1bqn	-6.18	3.80
1br6	-6.38	0.96
1btn	-11.03	3.04
1c85	-7.98	0.49
1c88	-9.36	0.32
1cet	-3.94	2.19
1czk	-11.08	0.82
1czr	-10.68	0.54
1db1	-11.41	0.72
1dbj	-8.41	0.85
1dbk	-7.86	1.03
1di9	-6.33	5.48
1dru	-8.12	1.64
1drw	-9.87	1.74
1dtt	-6.47	1.19
1e1v	-4.92	4.16
1e66	-9.02	0.39
1eed	-6.46	4.19
1epo	-6.50	3.02
1epp	-5.99	2.59
1esz	-9.24	1.01
1ets	-8.87	1.15
1ett	-7.90	2.80
1eyn	-7.43	2.41
1f0q	-7.68	2.89
1f4x	-5.67	0.92
1f9g	-3.94	4.75
1fkb	-10.66	0.69
1fko	-7.43	0.47
1fv0	-7.12	1.43
1fw0	-6.67	0.71
1fzq	-10.38	0.39
1gx8	-7.91	2.04
1gym	-4.47	1.95
1h22	-9.22	3.34
1h23	-9.33	3.45
1h46	-3.30	6.10
1h6h	-10.61	2.17
1h9z	-6.19	3.28
1ha2	-5.91	3.22
1hi3	-11.00	5.27
1hi5	-10.22	3.74
1hk4	-5.76	1.74
1hk5	-6.30	1.72
1hsg	-7.49	2.58
1ie9	-11.91	0.73
1ikv	-6.09	0.48
1iky	-8.02	1.12
1il4	-4.70	1.78
1il5	-3.54	5.37
1il9	-5.24	0.16
1ixi	-7.58	0.37
1j01	-6.06	0.17
1j5i	-5.24	2.65
1jsv	-6.61	0.66
1jvu	-8.84	1.00
1jwt	-8.01	3.90
1k2i	-4.70	3.93
1k3t	-6.12	3.53
1knu	-9.64	1.84
1l83	-3.40	0.81
1laf	-1.36	7.84
1lag	-2.79	8.07
1lah	-5.93	0.56
1lee	-7.53	0.89
1lf2	-7.35	2.06
1lf3	-7.84	2.26
1lgw	-3.41	2.33
1li3	-4.01	2.72
1lo7	-4.56	4.29
1lo8	-5.69	4.20
1lst	-0.65	7.30
1lyx	-7.82	0.88
1m2q	-8.09	1.68
1m2r	-6.89	0.24
1m5c	-8.77	1.38
1me4	-4.25	4.23
1moq	-5.27	1.60
1mqi	-7.70	0.17
1mt6	-3.87	2.21
1n1t	-8.07	1.14
1n1v	-8.13	1.17
1nav	-9.46	0.45
1nf8	-2.64	4.85
1njc	-6.33	4.52
1njd	-6.45	3.70
1nje	-6.13	5.70
1nli	-4.15	0.17
1nq0	-11.96	0.53
1nq1	-11.71	0.75
1o4k	-5.07	3.45
1o5f	-7.17	1.27
1o9w	-4.44	3.94
1obv	-12.69	0.67
1ogz	-6.76	3.38
1p1n	-6.18	0.74
1p1o	-7.08	0.17
1p57	-6.08	2.73
1pb7	-2.39	8.14
1pb8	-5.69	0.86
1pb9	-5.15	0.14
1pbk	-10.95	0.59
1pot	-5.43	1.11
1pxk	-5.77	3.92
1pxl	-4.86	3.64
1pxm	-6.31	3.44
1pxn	-6.48	1.04
1pxp	-5.48	3.19
1qan	-7.69	0.74
1qaq	-7.77	1.02
1qds	-7.85	0.58
1qti	-6.67	0.73
1qvt	-5.00	0.77
1r0p	-9.84	0.64
1r5l	-9.84	3.87
1rbp	-8.08	0.87
1rej	-9.32	0.49
1rg7	-9.23	1.67
1rne	-8.37	2.94
1rnt	-5.74	1.12
1rob	-8.50	0.94
1rpf	-7.67	0.91
1rpj	-7.02	0.33
1rth	-7.26	3.74
1rti	-7.22	2.09
